Year;CEPCI;Source
1996;382;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
1997;387;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
1998;390;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
1999;391;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2000;394;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2001;394;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2002;396;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2003;402;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2004;444;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2005;468;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2006;500;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2007;525;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2008;575;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2009;521;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2010;551;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2011;586;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2012;585;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2013;567;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2014;576;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2015;557;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2016;542;Analysis Synthesis and Design of Chemical Processes (5th, 2018) - Richard Turton et al.
2017;567.5;https://www.chemengonline.com/2019-chemical-engineering-plant-cost-index-annual-average/
2018;603.1;https://www.chemengonline.com/2019-chemical-engineering-plant-cost-index-annual-average/
2019;607.5;https://www.chemengonline.com/2019-chemical-engineering-plant-cost-index-annual-average/
2020;586;https://www.chemengonline.com/2020-cepci-updates-april-prelim-and-march-final/
